Rank,OrderedRank,HandDescription
1,1,5-card 21
2,1,4-card 21
3,1,3-card 21
4,1,5-card 20
5,1,4-card 20
6,1,3-card 20
7,1,2-card 20
8,1,5-card 19
9,1,4-card 19
10,1,3-card 19
11,1,2-card 19
12,1,5-card 18
13,1,4-card 18
14,1,3-card 18
15,1,2-card 18
16,1,5-card 17
17,1,4-card 17
18,1,3-card 17
19,1,2-card 17
20,1,5-card 16
21,1,4-card 16
22,1,3-card 16
23,1,2-card 16
24,1,5-card 15
25,1,4-card 15
26,1,3-card 15
27,1,2-card 15
28,1,5-card 14
29,1,4-card 14
30,1,5-card 13
31,1,4-card 13
32,1,5-card 12
33,1,3-card 12
34,1,5-card 11
35,1,5-card 10
36,1,5-card 9
37,1,5-card 8
38,1,5-card 7
39,1,5-card 6
40,1,5-card 5
41,1,5-card 4
42,1,5-card 3
43,1,5-card 2
44,1,5-card 1
45,1,5-card 0
