Rank,HandDescription
1,5-card 21
2,4-card 21
3,3-card 21
4,5-card 20
5,4-card 20
6,3-card 20
7,2-card 20
8,5-card 19
9,4-card 19
10,3-card 19
11,2-card 19
12,5-card 18
13,4-card 18
14,3-card 18
15,2-card 18
16,5-card 17
17,4-card 17
18,3-card 17
19,2-card 17
20,5-card 16
21,3-card 16
22,2-card 16
23,5-card 15
24,2-card 15
25,5-card 14
26,5-card 13
27,5-card 12
28,5-card 11
29,5-card 10
30,5-card 9
31,5-card 8
32,5-card 7
33,5-card 6
34,5-card 5
35,5-card 4
36,5-card 3
37,5-card 2
38,5-card 1
39,5-card 0
