Hand,Rank,OrderedRank
Ks,Kh,1,1
Ks,Kd,1,1
Ks,Kc,1,1
Kh,Kd,1,1
Kh,Kc,1,1
Kd,Kc,1,1
Qs,Qh,1,2
Qs,Qd,1,2
Qs,Qc,1,2
Qh,Qd,1,2
Qh,Qc,1,2
Qd,Qc,1,2
Js,Jh,1,3
Js,Jd,1,3
Js,Jc,1,3
Jh,Jd,1,3
Jh,Jc,1,3
Jd,Jc,1,3
7s,7h,1,4
7s,7d,1,4
7s,7c,1,4
7h,7d,1,4
7h,7c,1,4
7d,7c,1,4
6s,6h,1,5
6s,6d,1,5
6s,6c,1,5
6h,6d,1,5
6h,6c,1,5
6d,6c,1,5
5s,5h,1,6
5s,5d,1,6
5s,5c,1,6
5h,5d,1,6
5h,5c,1,6
5d,5c,1,6
4s,4h,1,7
4s,4d,1,7
4s,4c,1,7
4h,4d,1,7
4h,4c,1,7
4d,4c,1,7
3s,3h,1,8
3s,3d,1,8
3s,3c,1,8
3h,3d,1,8
3h,3c,1,8
3d,3c,1,8
2s,2h,1,9
2s,2d,1,9
2s,2c,1,9
2h,2d,1,9
2h,2c,1,9
2d,2c,1,9
As,Ah,1,10
As,Ad,1,10
As,Ac,1,10
Ah,Ad,1,10
Ah,Ac,1,10
Ad,Ac,1,10
Ks,Qs,2,1
Ks,Qh,2,1
Ks,Qd,2,1
Ks,Qc,2,1
Kh,Qs,2,1
Kh,Qh,2,1
Kh,Qd,2,1
Kh,Qc,2,1
Kd,Qs,2,1
Kd,Qh,2,1
Kd,Qd,2,1
Kd,Qc,2,1
Kc,Qs,2,1
Kc,Qh,2,1
Kc,Qd,2,1
Kc,Qc,2,1
Ks,Js,2,2
Ks,Jh,2,2
Ks,Jd,2,2
Ks,Jc,2,2
Kh,Js,2,2
Kh,Jh,2,2
Kh,Jd,2,2
Kh,Jc,2,2
Kd,Js,2,2
Kd,Jh,2,2
Kd,Jd,2,2
Kd,Jc,2,2
Kc,Js,2,2
Kc,Jh,2,2
Kc,Jd,2,2
Kc,Jc,2,2
Ks,7s,2,3
Ks,7h,2,3
Ks,7d,2,3
Ks,7c,2,3
Kh,7s,2,3
Kh,7h,2,3
Kh,7d,2,3
Kh,7c,2,3
Kd,7s,2,3
Kd,7h,2,3
Kd,7d,2,3
Kd,7c,2,3
Kc,7s,2,3
Kc,7h,2,3
Kc,7d,2,3
Kc,7c,2,3
Ks,6s,2,4
Ks,6h,2,4
Ks,6d,2,4
Ks,6c,2,4
Kh,6s,2,4
Kh,6h,2,4
Kh,6d,2,4
Kh,6c,2,4
Kd,6s,2,4
Kd,6h,2,4
Kd,6d,2,4
Kd,6c,2,4
Kc,6s,2,4
Kc,6h,2,4
Kc,6d,2,4
Kc,6c,2,4
Ks,5s,2,5
Ks,5h,2,5
Ks,5d,2,5
Ks,5c,2,5
Kh,5s,2,5
Kh,5h,2,5
Kh,5d,2,5
Kh,5c,2,5
Kd,5s,2,5
Kd,5h,2,5
Kd,5d,2,5
Kd,5c,2,5
Kc,5s,2,5
Kc,5h,2,5
Kc,5d,2,5
Kc,5c,2,5
Ks,4s,2,6
Ks,4h,2,6
Ks,4d,2,6
Ks,4c,2,6
Kh,4s,2,6
Kh,4h,2,6
Kh,4d,2,6
Kh,4c,2,6
Kd,4s,2,6
Kd,4h,2,6
Kd,4d,2,6
Kd,4c,2,6
Kc,4s,2,6
Kc,4h,2,6
Kc,4d,2,6
Kc,4c,2,6
Ks,3s,2,7
Ks,3h,2,7
Ks,3d,2,7
Ks,3c,2,7
Kh,3s,2,7
Kh,3h,2,7
Kh,3d,2,7
Kh,3c,2,7
Kd,3s,2,7
Kd,3h,2,7
Kd,3d,2,7
Kd,3c,2,7
Kc,3s,2,7
Kc,3h,2,7
Kc,3d,2,7
Kc,3c,2,7
Ks,2s,2,8
Ks,2h,2,8
Ks,2d,2,8
Ks,2c,2,8
Kh,2s,2,8
Kh,2h,2,8
Kh,2d,2,8
Kh,2c,2,8
Kd,2s,2,8
Kd,2h,2,8
Kd,2d,2,8
Kd,2c,2,8
Kc,2s,2,8
Kc,2h,2,8
Kc,2d,2,8
Kc,2c,2,8
Ks,As,2,9
Ks,Ah,2,9
Ks,Ad,2,9
Ks,Ac,2,9
Kh,As,2,9
