Hand,Rank,OrderedRank
As,Ah,1,1
W1,Ah,1,1
W1,As,1,1
B1,Ah,1,1
B1,As,1,1
As,Ad,1,1
W1,Ad,1,1
B1,Ad,1,1
As,Ac,1,1
W1,Ac,1,1
B1,Ac,1,1
Ah,Ad,1,1
Ah,Ac,1,1
Ad,Ac,1,1
Ks,Kh,1,2
W1,Kh,1,2
W1,Ks,1,2
Ks,Kd,1,2
W1,Kd,1,2
Ks,Kc,1,2
W1,Kc,1,2
Kh,Kd,1,2
Kh,Kc,1,2
Kd,Kc,1,2
Qs,Qh,1,3
W1,Qh,1,3
W1,Qs,1,3
Qs,Qd,1,3
W1,Qd,1,3
Qs,Qc,1,3
W1,Qc,1,3
Qh,Qd,1,3
Qh,Qc,1,3
Qd,Qc,1,3
Js,Jh,1,4
W1,Jh,1,4
W1,Js,1,4
Js,Jd,1,4
W1,Jd,1,4
Js,Jc,1,4
W1,Jc,1,4
Jh,Jd,1,4
Jh,Jc,1,4
Jd,Jc,1,4
7s,7h,1,5
W1,7h,1,5
W1,7s,1,5
7s,7d,1,5
W1,7d,1,5
7s,7c,1,5
W1,7c,1,5
7h,7d,1,5
7h,7c,1,5
7d,7c,1,5
6s,6h,1,6
W1,6h,1,6
W1,6s,1,6
6s,6d,1,6
W1,6d,1,6
6s,6c,1,6
W1,6c,1,6
6h,6d,1,6
6h,6c,1,6
6d,6c,1,6
5s,5h,1,7
W1,5h,1,7
W1,5s,1,7
5s,5d,1,7
W1,5d,1,7
5s,5c,1,7
W1,5c,1,7
5h,5d,1,7
5h,5c,1,7
5d,5c,1,7
4s,4h,1,8
W1,4h,1,8
W1,4s,1,8
4s,4d,1,8
W1,4d,1,8
4s,4c,1,8
W1,4c,1,8
4h,4d,1,8
4h,4c,1,8
4d,4c,1,8
3s,3h,1,9
W1,3h,1,9
W1,3s,1,9
3s,3d,1,9
W1,3d,1,9
3s,3c,1,9
W1,3c,1,9
3h,3d,1,9
3h,3c,1,9
3d,3c,1,9
2s,2h,1,10
W1,2h,1,10
W1,2s,1,10
2s,2d,1,10
W1,2d,1,10
2s,2c,1,10
W1,2c,1,10
2h,2d,1,10
2h,2c,1,10
2d,2c,1,10
As,Ks,2,1
B1,Ks,2,1
As,Kh,2,1
B1,Kh,2,1
As,Kd,2,1
B1,Kd,2,1
As,Kc,2,1
B1,Kc,2,1
Ah,Ks,2,1
Ah,Kh,2,1
Ah,Kd,2,1
Ah,Kc,2,1
Ad,Ks,2,1
Ad,Kh,2,1
Ad,Kd,2,1
Ad,Kc,2,1
Ac,Ks,2,1
Ac,Kh,2,1
Ac,Kd,2,1
Ac,Kc,2,1
As,Qs,2,2
B1,Qs,2,2
As,Qh,2,2
B1,Qh,2,2
As,Qd,2,2
B1,Qd,2,2
As,Qc,2,2
B1,Qc,2,2
Ah,Qs,2,2
Ah,Qh,2,2
Ah,Qd,2,2
Ah,Qc,2,2
Ad,Qs,2,2
Ad,Qh,2,2
Ad,Qd,2,2
Ad,Qc,2,2
Ac,Qs,2,2
Ac,Qh,2,2
Ac,Qd,2,2
Ac,Qc,2,2
As,Js,2,3
B1,Js,2,3
As,Jh,2,3
B1,Jh,2,3
As,Jd,2,3
B1,Jd,2,3
As,Jc,2,3
B1,Jc,2,3
Ah,Js,2,3
Ah,Jh,2,3
Ah,Jd,2,3
Ah,Jc,2,3
Ad,Js,2,3
Ad,Jh,2,3
Ad,Jd,2,3
Ad,Jc,2,3
Ac,Js,2,3
Ac,Jh,2,3
Ac,Jd,2,3
Ac,Jc,2,3
As,7s,2,4
B1,7s,2,4
As,7h,2,4
B1,7h,2,4
As,7d,2,4
B1,7d,2,4
As,7c,2,4
B1,7c,2,4
Ah,7s,2,4
Ah,7h,2,4
Ah,7d,2,4
Ah,7c,2,4
Ad,7s,2,4
Ad,7h,2,4
Ad,7d,2,4
Ad,7c,2,4
Ac,7s,2,4
Ac,7h,2,4
Ac,7d,2,4
Ac,7c,2,4
As,6s,2,5
B1,6s,2,5
As,6h,2,5
B1,6h,2,5
As,6d,2,5
B1,6d,2,5
As,6c,2,5
B1,6c,2,5
Ah,6s,2,5
Ah,6h,2,5
Ah,6d,2,5
Ah,6c,2,5
Ad,6s,2,5
Ad,6h,2,5
Ad,6d,2,5
Ad,6c,2,5
Ac,6s,2,5
Ac,6h,2,5
Ac,6d,2,5
Ac,6c,2,5
As,5s,2,6
B1,5s,2,6
As,5h,2,6
B1,5h,2,6
As,5d,2,6
B1,5d,2,6
As,5c,2,6
B1,5c,2,6
Ah,5s,2,6
Ah,5h,2,6
Ah,5d,2,6
Ah,5c,2,6
Ad,5s,2,6
Ad,5h,2,6
Ad,5d,2,6
Ad,5c,2,6
Ac,5s,2,6
Ac,5h,2,6
Ac,5d,2,6
Ac,5c,2,6
As,4s,2,7
B1,4s,2,7
As,4h,2,7
B1,4h,2,7
As,4d,2,7
B1,4d,2,7
As,4c,2,7
B1,4c,2,7
Ah,4s,2,7
Ah,4h,2,7
Ah,4d,2,7
Ah,4c,2,7
Ad,4s,2,7
Ad,4h,2,7
Ad,4d,2,7
Ad,4c,2,7
Ac,4s,2,7
Ac,4h,2,7
Ac,4d,2,7
Ac,4c,2,7
As,3s,2,8
B1,3s,2,8
As,3h,2,8
B1,3h,2,8
As,3d,2,8
B1,3d,2,8
As,3c,2,8
B1,3c,2,8
Ah,3s,2,8
Ah,3h,2,8
Ah,3d,2,8
Ah,3c,2,8
Ad,3s,2,8
Ad,3h,2,8
Ad,3d,2,8
Ad,3c,2,8
Ac,3s,2,8
Ac,3h,2,8
Ac,3d,2,8
Ac,3c,2,8
As,2s,2,9
B1,2s,2,9
As,2h,2,9
B1,2h,2,9
As,2d,2,9
B1,2d,2,9
As,2c,2,9
B1,2c,2,9
Ah,2s,2,9
Ah,2h,2,9
Ah,2d,2,9
Ah,2c,2,9
Ad,2s,2,9
Ad,2h,2,9
Ad,2d,2,9
Ad,2c,2,9
Ac,2s,2,9
Ac,2h,2,9
Ac,2d,2,9
Ac,2c,2,9
Ks,Qs,2,10
Ks,Qh,2,10
Ks,Qd,2,10
Ks,Qc,2,10
Kh,Qs,2,10
Kh,Qh,2,10
Kh,Qd,2,10
Kh,Qc,2,10
Kd,Qs,2,10
Kd,Qh,2,10
Kd,Qd,2,10
Kd,Qc,2,10
Kc,Qs,2,10
Kc,Qh,2,10
Kc,Qd,2,10
Kc,Qc,2,10
Ks,Js,2,11
Ks,Jh,2,11
Ks,Jd,2,11
Ks,Jc,2,11
Kh,Js,2,11
Kh,Jh,2,11
Kh,Jd,2,11
Kh,Jc,2,11
Kd,Js,2,11
Kd,Jh,2,11
Kd,Jd,2,11
Kd,Jc,2,11
Kc,Js,2,11
Kc,Jh,2,11
Kc,Jd,2,11
Kc,Jc,2,11
Ks,7s,2,12
Ks,7h,2,12
Ks,7d,2,12
Ks,7c,2,12
Kh,7s,2,12
Kh,7h,2,12
Kh,7d,2,12
Kh,7c,2,12
Kd,7s,2,12
Kd,7h,2,12
Kd,7d,2,12
Kd,7c,2,12
Kc,7s,2,12
Kc,7h,2,12
Kc,7d,2,12
Kc,7c,2,12
Ks,6s,2,13
Ks,6h,2,13
Ks,6d,2,13
Ks,6c,2,13
Kh,6s,2,13
Kh,6h,2,13
Kh,6d,2,13
Kh,6c,2,13
Kd,6s,2,13
Kd,6h,2,13
Kd,6d,2,13
Kd,6c,2,13
Kc,6s,2,13
Kc,6h,2,13
Kc,6d,2,13
Kc,6c,2,13
Ks,5s,2,14
Ks,5h,2,14
Ks,5d,2,14
Ks,5c,2,14
Kh,5s,2,14
Kh,5h,2,14
Kh,5d,2,14
Kh,5c,2,14
Kd,5s,2,14
Kd,5h,2,14
Kd,5d,2,14
Kd,5c,2,14
Kc,5s,2,14
Kc,5h,2,14
Kc,5d,2,14
Kc,5c,2,14
Ks,4s,2,15
Ks,4h,2,15
Ks,4d,2,15
Ks,4c,2,15
Kh,4s,2,15
Kh,4h,2,15
Kh,4d,2,15
Kh,4c,2,15
Kd,4s,2,15
Kd,4h,2,15
Kd,4d,2,15
Kd,4c,2,15
Kc,4s,2,15
Kc,4h,2,15
Kc,4d,2,15
Kc,4c,2,15
Ks,3s,2,16
Ks,3h,2,16
Ks,3d,2,16
Ks,3c,2,16
Kh,3s,2,16
Kh,3h,2,16
Kh,3d,2,16
Kh,3c,2,16
Kd,3s,2,16
Kd,3h,2,16
Kd,3d,2,16
Kd,3c,2,16
Kc,3s,2,16
Kc,3h,2,16
Kc,3d,2,16
Kc,3c,2,16
Ks,2s,2,17
Ks,2h,2,17
Ks,2d,2,17
Ks,2c,2,17
Kh,2s,2,17
Kh,2h,2,17
Kh,2d,2,17
Kh,2c,2,17
Kd,2s,2,17
Kd,2h,2,17
Kd,2d,2,17
Kd,2c,2,17
Kc,2s,2,17
Kc,2h,2,17
Kc,2d,2,17
Kc,2c,2,17
Qs,Js,2,18
Qs,Jh,2,18
Qs,Jd,2,18
Qs,Jc,2,18
Qh,Js,2,18
Qh,Jh,2,18
Qh,Jd,2,18
Qh,Jc,2,18
Qd,Js,2,18
Qd,Jh,2,18
Qd,Jd,2,18
Qd,Jc,2,18
Qc,Js,2,18
Qc,Jh,2,18
Qc,Jd,2,18
Qc,Jc,2,18
Qs,7s,2,19
Qs,7h,2,19
Qs,7d,2,19
Qs,7c,2,19
Qh,7s,2,19
Qh,7h,2,19
Qh,7d,2,19
Qh,7c,2,19
Qd,7s,2,19
Qd,7h,2,19
Qd,7d,2,19
Qd,7c,2,19
Qc,7s,2,19
Qc,7h,2,19
Qc,7d,2,19
Qc,7c,2,19
Qs,6s,2,20
Qs,6h,2,20
Qs,6d,2,20
Qs,6c,2,20
Qh,6s,2,20
Qh,6h,2,20
Qh,6d,2,20
Qh,6c,2,20
Qd,6s,2,20
Qd,6h,2,20
Qd,6d,2,20
Qd,6c,2,20
Qc,6s,2,20
Qc,6h,2,20
Qc,6d,2,20
Qc,6c,2,20
Qs,5s,2,21
Qs,5h,2,21
Qs,5d,2,21
Qs,5c,2,21
Qh,5s,2,21
Qh,5h,2,21
Qh,5d,2,21
Qh,5c,2,21
Qd,5s,2,21
Qd,5h,2,21
Qd,5d,2,21
Qd,5c,2,21
Qc,5s,2,21
Qc,5h,2,21
Qc,5d,2,21
Qc,5c,2,21
Qs,4s,2,22
Qs,4h,2,22
Qs,4d,2,22
Qs,4c,2,22
Qh,4s,2,22
Qh,4h,2,22
Qh,4d,2,22
Qh,4c,2,22
Qd,4s,2,22
Qd,4h,2,22
Qd,4d,2,22
Qd,4c,2,22
Qc,4s,2,22
Qc,4h,2,22
Qc,4d,2,22
Qc,4c,2,22
Qs,3s,2,23
Qs,3h,2,23
Qs,3d,2,23
Qs,3c,2,23
Qh,3s,2,23
Qh,3h,2,23
Qh,3d,2,23
Qh,3c,2,23
Qd,3s,2,23
Qd,3h,2,23
Qd,3d,2,23
Qd,3c,2,23
Qc,3s,2,23
Qc,3h,2,23
Qc,3d,2,23
Qc,3c,2,23
Qs,2s,2,24
Qs,2h,2,24
Qs,2d,2,24
Qs,2c,2,24
Qh,2s,2,24
Qh,2h,2,24
Qh,2d,2,24
Qh,2c,2,24
Qd,2s,2,24
Qd,2h,2,24
Qd,2d,2,24
Qd,2c,2,24
Qc,2s,2,24
Qc,2h,2,24
Qc,2d,2,24
Qc,2c,2,24
Js,7s,2,25
Js,7h,2,25
Js,7d,2,25
Js,7c,2,25
Jh,7s,2,25
Jh,7h,2,25
Jh,7d,2,25
Jh,7c,2,25
Jd,7s,2,25
Jd,7h,2,25
Jd,7d,2,25
Jd,7c,2,25
Jc,7s,2,25
Jc,7h,2,25
Jc,7d,2,25
Jc,7c,2,25
Js,6s,2,26
Js,6h,2,26
Js,6d,2,26
Js,6c,2,26
Jh,6s,2,26
Jh,6h,2,26
Jh,6d,2,26
Jh,6c,2,26
Jd,6s,2,26
Jd,6h,2,26
Jd,6d,2,26
Jd,6c,2,26
Jc,6s,2,26
Jc,6h,2,26
Jc,6d,2,26
Jc,6c,2,26
Js,5s,2,27
Js,5h,2,27
Js,5d,2,27
Js,5c,2,27
Jh,5s,2,27
Jh,5h,2,27
Jh,5d,2,27
Jh,5c,2,27
Jd,5s,2,27
Jd,5h,2,27
Jd,5d,2,27
Jd,5c,2,27
Jc,5s,2,27
Jc,5h,2,27
Jc,5d,2,27
Jc,5c,2,27
Js,4s,2,28
Js,4h,2,28
Js,4d,2,28
Js,4c,2,28
Jh,4s,2,28
Jh,4h,2,28
Jh,4d,2,28
Jh,4c,2,28
Jd,4s,2,28
Jd,4h,2,28
Jd,4d,2,28
Jd,4c,2,28
Jc,4s,2,28
Jc,4h,2,28
Jc,4d,2,28
Jc,4c,2,28
Js,3s,2,29
Js,3h,2,29
Js,3d,2,29
Js,3c,2,29
Jh,3s,2,29
Jh,3h,2,29
Jh,3d,2,29
Jh,3c,2,29
Jd,3s,2,29
Jd,3h,2,29
Jd,3d,2,29
Jd,3c,2,29
Jc,3s,2,29
Jc,3h,2,29
Jc,3d,2,29
Jc,3c,2,29
Js,2s,2,30
Js,2h,2,30
Js,2d,2,30
Js,2c,2,30
Jh,2s,2,30
Jh,2h,2,30
Jh,2d,2,30
Jh,2c,2,30
Jd,2s,2,30
Jd,2h,2,30
Jd,2d,2,30
Jd,2c,2,30
Jc,2s,2,30
Jc,2h,2,30
Jc,2d,2,30
Jc,2c,2,30
7s,6s,2,31
7s,6h,2,31
7s,6d,2,31
7s,6c,2,31
7h,6s,2,31
7h,6h,2,31
7h,6d,2,31
7h,6c,2,31
7d,6s,2,31
7d,6h,2,31
7d,6d,2,31
7d,6c,2,31
7c,6s,2,31
7c,6h,2,31
7c,6d,2,31
7c,6c,2,31
7s,5s,2,32
7s,5h,2,32
7s,5d,2,32
7s,5c,2,32
7h,5s,2,32
7h,5h,2,32
7h,5d,2,32
7h,5c,2,32
7d,5s,2,32
7d,5h,2,32
7d,5d,2,32
7d,5c,2,32
7c,5s,2,32
7c,5h,2,32
7c,5d,2,32
7c,5c,2,32
7s,4s,2,33
7s,4h,2,33
7s,4d,2,33
7s,4c,2,33
7h,4s,2,33
7h,4h,2,33
7h,4d,2,33
7h,4c,2,33
7d,4s,2,33
7d,4h,2,33
7d,4d,2,33
7d,4c,2,33
7c,4s,2,33
7c,4h,2,33
7c,4d,2,33
7c,4c,2,33
7s,3s,2,34
7s,3h,2,34
7s,3d,2,34
7s,3c,2,34
7h,3s,2,34
7h,3h,2,34
7h,3d,2,34
7h,3c,2,34
7d,3s,2,34
7d,3h,2,34
7d,3d,2,34
7d,3c,2,34
7c,3s,2,34
7c,3h,2,34
7c,3d,2,34
7c,3c,2,34
7s,2s,2,35
7s,2h,2,35
7s,2d,2,35
7s,2c,2,35
7h,2s,2,35
7h,2h,2,35
7h,2d,2,35
7h,2c,2,35
7d,2s,2,35
7d,2h,2,35
7d,2d,2,35
7d,2c,2,35
7c,2s,2,35
7c,2h,2,35
7c,2d,2,35
7c,2c,2,35
6s,5s,2,36
6s,5h,2,36
6s,5d,2,36
6s,5c,2,36
6h,5s,2,36
6h,5h,2,36
6h,5d,2,36
6h,5c,2,36
6d,5s,2,36
6d,5h,2,36
6d,5d,2,36
6d,5c,2,36
6c,5s,2,36
6c,5h,2,36
6c,5d,2,36
6c,5c,2,36
6s,4s,2,37
6s,4h,2,37
6s,4d,2,37
6s,4c,2,37
6h,4s,2,37
6h,4h,2,37
6h,4d,2,37
6h,4c,2,37
6d,4s,2,37
6d,4h,2,37
6d,4d,2,37
6d,4c,2,37
6c,4s,2,37
6c,4h,2,37
6c,4d,2,37
6c,4c,2,37
6s,3s,2,38
6s,3h,2,38
6s,3d,2,38
6s,3c,2,38
6h,3s,2,38
6h,3h,2,38
6h,3d,2,38
6h,3c,2,38
6d,3s,2,38
6d,3h,2,38
6d,3d,2,38
6d,3c,2,38
6c,3s,2,38
6c,3h,2,38
6c,3d,2,38
6c,3c,2,38
6s,2s,2,39
