Hand,Rank,OrderedRank
As,Ah,1,1
As,Ad,1,1
As,Ac,1,1
Ah,Ad,1,1
Ah,Ac,1,1
Ad,Ac,1,1
Ks,Kh,1,2
Ks,Kd,1,2
Ks,Kc,1,2
Kh,Kd,1,2
Kh,Kc,1,2
Kd,Kc,1,2
Qs,Qh,1,3
Qs,Qd,1,3
Qs,Qc,1,3
Qh,Qd,1,3
Qh,Qc,1,3
Qd,Qc,1,3
Js,Jh,1,4
Js,Jd,1,4
Js,Jc,1,4
Jh,Jd,1,4
Jh,Jc,1,4
Jd,Jc,1,4
Ts,Th,1,5
Ts,Td,1,5
Ts,Tc,1,5
Th,Td,1,5
Th,Tc,1,5
Td,Tc,1,5
9s,9h,1,6
9s,9d,1,6
9s,9c,1,6
9h,9d,1,6
9h,9c,1,6
9d,9c,1,6
8s,8h,1,7
8s,8d,1,7
8s,8c,1,7
8h,8d,1,7
8h,8c,1,7
8d,8c,1,7
7s,7h,1,8
7s,7d,1,8
7s,7c,1,8
7h,7d,1,8
7h,7c,1,8
7d,7c,1,8
6s,6h,1,9
6s,6d,1,9
6s,6c,1,9
6h,6d,1,9
6h,6c,1,9
6d,6c,1,9
5s,5h,1,10
5s,5d,1,10
5s,5c,1,10
5h,5d,1,10
5h,5c,1,10
5d,5c,1,10
4s,4h,1,11
4s,4d,1,11
4s,4c,1,11
4h,4d,1,11
4h,4c,1,11
4d,4c,1,11
3s,3h,1,12
3s,3d,1,12
3s,3c,1,12
3h,3d,1,12
3h,3c,1,12
3d,3c,1,12
2s,2h,1,13
2s,2d,1,13
2s,2c,1,13
2h,2d,1,13
2h,2c,1,13
2d,2c,1,13
As,Ks,2,1
As,Kh,2,1
As,Kd,2,1
As,Kc,2,1
Ah,Ks,2,1
Ah,Kh,2,1
Ah,Kd,2,1
Ah,Kc,2,1
Ad,Ks,2,1
Ad,Kh,2,1
Ad,Kd,2,1
Ad,Kc,2,1
Ac,Ks,2,1
Ac,Kh,2,1
Ac,Kd,2,1
Ac,Kc,2,1
As,Qs,2,2
As,Qh,2,2
As,Qd,2,2
As,Qc,2,2
Ah,Qs,2,2
Ah,Qh,2,2
Ah,Qd,2,2
Ah,Qc,2,2
Ad,Qs,2,2
Ad,Qh,2,2
Ad,Qd,2,2
Ad,Qc,2,2
Ac,Qs,2,2
Ac,Qh,2,2
Ac,Qd,2,2
Ac,Qc,2,2
As,Js,2,3
As,Jh,2,3
As,Jd,2,3
As,Jc,2,3
Ah,Js,2,3
Ah,Jh,2,3
Ah,Jd,2,3
Ah,Jc,2,3
Ad,Js,2,3
Ad,Jh,2,3
Ad,Jd,2,3
Ad,Jc,2,3
Ac,Js,2,3
Ac,Jh,2,3
Ac,Jd,2,3
Ac,Jc,2,3
As,Ts,2,4
As,Th,2,4
As,Td,2,4
As,Tc,2,4
Ah,Ts,2,4
Ah,Th,2,4
Ah,Td,2,4
Ah,Tc,2,4
Ad,Ts,2,4
Ad,Th,2,4
Ad,Td,2,4
Ad,Tc,2,4
Ac,Ts,2,4
Ac,Th,2,4
Ac,Td,2,4
Ac,Tc,2,4
As,9s,2,5
As,9h,2,5
As,9d,2,5
As,9c,2,5
Ah,9s,2,5
Ah,9h,2,5
Ah,9d,2,5
Ah,9c,2,5
Ad,9s,2,5
Ad,9h,2,5
Ad,9d,2,5
Ad,9c,2,5
Ac,9s,2,5
Ac,9h,2,5
Ac,9d,2,5
Ac,9c,2,5
As,8s,2,6
As,8h,2,6
As,8d,2,6
As,8c,2,6
Ah,8s,2,6
Ah,8h,2,6
Ah,8d,2,6
Ah,8c,2,6
Ad,8s,2,6
Ad,8h,2,6
Ad,8d,2,6
Ad,8c,2,6
Ac,8s,2,6
Ac,8h,2,6
Ac,8d,2,6
Ac,8c,2,6
As,7s,2,7
As,7h,2,7
As,7d,2,7
As,7c,2,7
Ah,7s,2,7
Ah,7h,2,7
Ah,7d,2,7
Ah,7c,2,7
Ad,7s,2,7
Ad,7h,2,7
Ad,7d,2,7
Ad,7c,2,7
Ac,7s,2,7
Ac,7h,2,7
Ac,7d,2,7
Ac,7c,2,7
As,6s,2,8
As,6h,2,8
As,6d,2,8
As,6c,2,8
Ah,6s,2,8
Ah,6h,2,8
Ah,6d,2,8
Ah,6c,2,8
Ad,6s,2,8
Ad,6h,2,8
Ad,6d,2,8
Ad,6c,2,8
Ac,6s,2,8
Ac,6h,2,8
Ac,6d,2,8
Ac,6c,2,8
As,5s,2,9
As,5h,2,9
As,5d,2,9
As,5c,2,9
Ah,5s,2,9
Ah,5h,2,9
Ah,5d,2,9
Ah,5c,2,9
Ad,5s,2,9
Ad,5h,2,9
Ad,5d,2,9
Ad,5c,2,9
Ac,5s,2,9
Ac,5h,2,9
Ac,5d,2,9
Ac,5c,2,9
As,4s,2,10
As,4h,2,10
As,4d,2,10
As,4c,2,10
Ah,4s,2,10
Ah,4h,2,10
Ah,4d,2,10
Ah,4c,2,10
Ad,4s,2,10
Ad,4h,2,10
Ad,4d,2,10
Ad,4c,2,10
Ac,4s,2,10
Ac,4h,2,10
Ac,4d,2,10
Ac,4c,2,10
As,3s,2,11
As,3h,2,11
As,3d,2,11
As,3c,2,11
Ah,3s,2,11
Ah,3h,2,11
Ah,3d,2,11
Ah,3c,2,11
Ad,3s,2,11
Ad,3h,2,11
Ad,3d,2,11
Ad,3c,2,11
Ac,3s,2,11
Ac,3h,2,11
Ac,3d,2,11
Ac,3c,2,11
As,2s,2,12
As,2h,2,12
As,2d,2,12
As,2c,2,12
Ah,2s,2,12
Ah,2h,2,12
Ah,2d,2,12
Ah,2c,2,12
Ad,2s,2,12
Ad,2h,2,12
Ad,2d,2,12
Ad,2c,2,12
Ac,2s,2,12
Ac,2h,2,12
Ac,2d,2,12
Ac,2c,2,12
Ks,Qs,2,13
Ks,Qh,2,13
Ks,Qd,2,13
Ks,Qc,2,13
Kh,Qs,2,13
Kh,Qh,2,13
Kh,Qd,2,13
Kh,Qc,2,13
Kd,Qs,2,13
Kd,Qh,2,13
Kd,Qd,2,13
Kd,Qc,2,13
Kc,Qs,2,13
Kc,Qh,2,13
Kc,Qd,2,13
Kc,Qc,2,13
Ks,Js,2,14
Ks,Jh,2,14
Ks,Jd,2,14
Ks,Jc,2,14
Kh,Js,2,14
Kh,Jh,2,14
Kh,Jd,2,14
Kh,Jc,2,14
Kd,Js,2,14
Kd,Jh,2,14
Kd,Jd,2,14
Kd,Jc,2,14
Kc,Js,2,14
Kc,Jh,2,14
Kc,Jd,2,14
Kc,Jc,2,14
Ks,Ts,2,15
Ks,Th,2,15
Ks,Td,2,15
Ks,Tc,2,15
Kh,Ts,2,15
Kh,Th,2,15
Kh,Td,2,15
Kh,Tc,2,15
Kd,Ts,2,15
Kd,Th,2,15
Kd,Td,2,15
Kd,Tc,2,15
Kc,Ts,2,15
Kc,Th,2,15
Kc,Td,2,15
Kc,Tc,2,15
Ks,9s,2,16
Ks,9h,2,16
Ks,9d,2,16
Ks,9c,2,16
Kh,9s,2,16
Kh,9h,2,16
Kh,9d,2,16
Kh,9c,2,16
Kd,9s,2,16
Kd,9h,2,16
Kd,9d,2,16
Kd,9c,2,16
Kc,9s,2,16
Kc,9h,2,16
Kc,9d,2,16
Kc,9c,2,16
Ks,8s,2,17
Ks,8h,2,17
Ks,8d,2,17
Ks,8c,2,17
Kh,8s,2,17
Kh,8h,2,17
Kh,8d,2,17
Kh,8c,2,17
Kd,8s,2,17
Kd,8h,2,17
Kd,8d,2,17
Kd,8c,2,17
Kc,8s,2,17
Kc,8h,2,17
Kc,8d,2,17
Kc,8c,2,17
Ks,7s,2,18
Ks,7h,2,18
Ks,7d,2,18
Ks,7c,2,18
Kh,7s,2,18
Kh,7h,2,18
Kh,7d,2,18
Kh,7c,2,18
Kd,7s,2,18
Kd,7h,2,18
Kd,7d,2,18
Kd,7c,2,18
Kc,7s,2,18
Kc,7h,2,18
Kc,7d,2,18
Kc,7c,2,18
Ks,6s,2,19
Ks,6h,2,19
Ks,6d,2,19
Ks,6c,2,19
Kh,6s,2,19
Kh,6h,2,19
Kh,6d,2,19
Kh,6c,2,19
Kd,6s,2,19
Kd,6h,2,19
Kd,6d,2,19
Kd,6c,2,19
Kc,6s,2,19
Kc,6h,2,19
Kc,6d,2,19
Kc,6c,2,19
Ks,5s,2,20
Ks,5h,2,20
Ks,5d,2,20
Ks,5c,2,20
Kh,5s,2,20
Kh,5h,2,20
Kh,5d,2,20
Kh,5c,2,20
Kd,5s,2,20
Kd,5h,2,20
Kd,5d,2,20
Kd,5c,2,20
Kc,5s,2,20
Kc,5h,2,20
Kc,5d,2,20
Kc,5c,2,20
Ks,4s,2,21
Ks,4h,2,21
Ks,4d,2,21
Ks,4c,2,21
Kh,4s,2,21
Kh,4h,2,21
Kh,4d,2,21
Kh,4c,2,21
Kd,4s,2,21
Kd,4h,2,21
Kd,4d,2,21
Kd,4c,2,21
Kc,4s,2,21
Kc,4h,2,21
Kc,4d,2,21
Kc,4c,2,21
Ks,3s,2,22
Ks,3h,2,22
Ks,3d,2,22
Ks,3c,2,22
Kh,3s,2,22
Kh,3h,2,22
Kh,3d,2,22
Kh,3c,2,22
Kd,3s,2,22
Kd,3h,2,22
Kd,3d,2,22
Kd,3c,2,22
Kc,3s,2,22
Kc,3h,2,22
Kc,3d,2,22
Kc,3c,2,22
Ks,2s,2,23
Ks,2h,2,23
Ks,2d,2,23
Ks,2c,2,23
Kh,2s,2,23
Kh,2h,2,23
Kh,2d,2,23
Kh,2c,2,23
Kd,2s,2,23
Kd,2h,2,23
Kd,2d,2,23
Kd,2c,2,23
Kc,2s,2,23
Kc,2h,2,23
Kc,2d,2,23
Kc,2c,2,23
Qs,Js,2,24
Qs,Jh,2,24
Qs,Jd,2,24
Qs,Jc,2,24
Qh,Js,2,24
Qh,Jh,2,24
Qh,Jd,2,24
Qh,Jc,2,24
Qd,Js,2,24
Qd,Jh,2,24
Qd,Jd,2,24
Qd,Jc,2,24
Qc,Js,2,24
Qc,Jh,2,24
Qc,Jd,2,24
Qc,Jc,2,24
Qs,Ts,2,25
Qs,Th,2,25
Qs,Td,2,25
Qs,Tc,2,25
Qh,Ts,2,25
Qh,Th,2,25
Qh,Td,2,25
Qh,Tc,2,25
Qd,Ts,2,25
Qd,Th,2,25
Qd,Td,2,25
Qd,Tc,2,25
Qc,Ts,2,25
Qc,Th,2,25
Qc,Td,2,25
Qc,Tc,2,25
Qs,9s,2,26
Qs,9h,2,26
Qs,9d,2,26
Qs,9c,2,26
Qh,9s,2,26
Qh,9h,2,26
Qh,9d,2,26
Qh,9c,2,26
Qd,9s,2,26
Qd,9h,2,26
Qd,9d,2,26
Qd,9c,2,26
Qc,9s,2,26
Qc,9h,2,26
Qc,9d,2,26
Qc,9c,2,26
Qs,8s,2,27
Qs,8h,2,27
Qs,8d,2,27
Qs,8c,2,27
Qh,8s,2,27
Qh,8h,2,27
Qh,8d,2,27
Qh,8c,2,27
Qd,8s,2,27
Qd,8h,2,27
Qd,8d,2,27
Qd,8c,2,27
Qc,8s,2,27
Qc,8h,2,27
Qc,8d,2,27
Qc,8c,2,27
Qs,7s,2,28
Qs,7h,2,28
Qs,7d,2,28
Qs,7c,2,28
Qh,7s,2,28
Qh,7h,2,28
Qh,7d,2,28
Qh,7c,2,28
Qd,7s,2,28
Qd,7h,2,28
Qd,7d,2,28
Qd,7c,2,28
Qc,7s,2,28
Qc,7h,2,28
Qc,7d,2,28
Qc,7c,2,28
Qs,6s,2,29
Qs,6h,2,29
Qs,6d,2,29
Qs,6c,2,29
Qh,6s,2,29
Qh,6h,2,29
Qh,6d,2,29
Qh,6c,2,29
Qd,6s,2,29
Qd,6h,2,29
Qd,6d,2,29
Qd,6c,2,29
Qc,6s,2,29
Qc,6h,2,29
Qc,6d,2,29
Qc,6c,2,29
Qs,5s,2,30
Qs,5h,2,30
Qs,5d,2,30
Qs,5c,2,30
Qh,5s,2,30
Qh,5h,2,30
Qh,5d,2,30
Qh,5c,2,30
Qd,5s,2,30
Qd,5h,2,30
Qd,5d,2,30
Qd,5c,2,30
Qc,5s,2,30
Qc,5h,2,30
Qc,5d,2,30
Qc,5c,2,30
Qs,4s,2,31
Qs,4h,2,31
Qs,4d,2,31
Qs,4c,2,31
Qh,4s,2,31
Qh,4h,2,31
Qh,4d,2,31
Qh,4c,2,31
Qd,4s,2,31
Qd,4h,2,31
Qd,4d,2,31
Qd,4c,2,31
Qc,4s,2,31
Qc,4h,2,31
Qc,4d,2,31
Qc,4c,2,31
Qs,3s,2,32
Qs,3h,2,32
Qs,3d,2,32
Qs,3c,2,32
Qh,3s,2,32
Qh,3h,2,32
Qh,3d,2,32
Qh,3c,2,32
Qd,3s,2,32
Qd,3h,2,32
Qd,3d,2,32
Qd,3c,2,32
Qc,3s,2,32
Qc,3h,2,32
Qc,3d,2,32
Qc,3c,2,32
Qs,2s,2,33
Qs,2h,2,33
Qs,2d,2,33
Qs,2c,2,33
Qh,2s,2,33
Qh,2h,2,33
Qh,2d,2,33
Qh,2c,2,33
Qd,2s,2,33
Qd,2h,2,33
