Hand,Rank,OrderedRank
Ks,Qs,1,1
Ks,Qh,1,1
Ks,Qd,1,1
Ks,Qc,1,1
Kh,Qs,1,1
Kh,Qh,1,1
Kh,Qd,1,1
Kh,Qc,1,1
Kd,Qs,1,1
Kd,Qh,1,1
Kd,Qd,1,1
Kd,Qc,1,1
Kc,Qs,1,1
Kc,Qh,1,1
Kc,Qd,1,1
Kc,Qc,1,1
Ks,Js,1,2
Ks,Jh,1,2
Ks,Jd,1,2
Ks,Jc,1,2
Kh,Js,1,2
Kh,Jh,1,2
Kh,Jd,1,2
Kh,Jc,1,2
Kd,Js,1,2
Kd,Jh,1,2
Kd,Jd,1,2
Kd,Jc,1,2
Kc,Js,1,2
Kc,Jh,1,2
Kc,Jd,1,2
Kc,Jc,1,2
Ks,Ts,1,3
Ks,Th,1,3
Ks,Td,1,3
Ks,Tc,1,3
Kh,Ts,1,3
Kh,Th,1,3
Kh,Td,1,3
Kh,Tc,1,3
Kd,Ts,1,3
Kd,Th,1,3
Kd,Td,1,3
Kd,Tc,1,3
Kc,Ts,1,3
Kc,Th,1,3
Kc,Td,1,3
Kc,Tc,1,3
Ks,9s,1,4
Ks,9h,1,4
Ks,9d,1,4
Ks,9c,1,4
Kh,9s,1,4
Kh,9h,1,4
Kh,9d,1,4
Kh,9c,1,4
Kd,9s,1,4
Kd,9h,1,4
Kd,9d,1,4
Kd,9c,1,4
Kc,9s,1,4
Kc,9h,1,4
Kc,9d,1,4
Kc,9c,1,4
Ks,8s,1,5
Ks,8h,1,5
Ks,8d,1,5
Ks,8c,1,5
Kh,8s,1,5
Kh,8h,1,5
Kh,8d,1,5
Kh,8c,1,5
Kd,8s,1,5
Kd,8h,1,5
Kd,8d,1,5
Kd,8c,1,5
Kc,8s,1,5
Kc,8h,1,5
Kc,8d,1,5
Kc,8c,1,5
Ks,7s,1,6
Ks,7h,1,6
Ks,7d,1,6
Ks,7c,1,6
Kh,7s,1,6
Kh,7h,1,6
Kh,7d,1,6
Kh,7c,1,6
Kd,7s,1,6
Kd,7h,1,6
Kd,7d,1,6
Kd,7c,1,6
Kc,7s,1,6
Kc,7h,1,6
Kc,7d,1,6
Kc,7c,1,6
Ks,6s,1,7
Ks,6h,1,7
Ks,6d,1,7
Ks,6c,1,7
Kh,6s,1,7
Kh,6h,1,7
Kh,6d,1,7
Kh,6c,1,7
Kd,6s,1,7
Kd,6h,1,7
Kd,6d,1,7
Kd,6c,1,7
Kc,6s,1,7
Kc,6h,1,7
Kc,6d,1,7
Kc,6c,1,7
Ks,5s,1,8
Ks,5h,1,8
Ks,5d,1,8
Ks,5c,1,8
Kh,5s,1,8
Kh,5h,1,8
Kh,5d,1,8
Kh,5c,1,8
Kd,5s,1,8
Kd,5h,1,8
Kd,5d,1,8
Kd,5c,1,8
Kc,5s,1,8
Kc,5h,1,8
Kc,5d,1,8
Kc,5c,1,8
Ks,4s,1,9
Ks,4h,1,9
Ks,4d,1,9
Ks,4c,1,9
Kh,4s,1,9
Kh,4h,1,9
Kh,4d,1,9
Kh,4c,1,9
Kd,4s,1,9
Kd,4h,1,9
Kd,4d,1,9
Kd,4c,1,9
Kc,4s,1,9
Kc,4h,1,9
Kc,4d,1,9
Kc,4c,1,9
Ks,3s,1,10
Ks,3h,1,10
Ks,3d,1,10
Ks,3c,1,10
Kh,3s,1,10
Kh,3h,1,10
Kh,3d,1,10
Kh,3c,1,10
Kd,3s,1,10
Kd,3h,1,10
Kd,3d,1,10
Kd,3c,1,10
Kc,3s,1,10
Kc,3h,1,10
Kc,3d,1,10
Kc,3c,1,10
Ks,2s,1,11
Ks,2h,1,11
Ks,2d,1,11
Ks,2c,1,11
Kh,2s,1,11
Kh,2h,1,11
Kh,2d,1,11
Kh,2c,1,11
Kd,2s,1,11
Kd,2h,1,11
Kd,2d,1,11
Kd,2c,1,11
Kc,2s,1,11
Kc,2h,1,11
Kc,2d,1,11
Kc,2c,1,11
Ks,As,1,12
Ks,Ah,1,12
Ks,Ad,1,12
Ks,Ac,1,12
Kh,As,1,12
Kh,Ah,1,12
Kh,Ad,1,12
Kh,Ac,1,12
Kd,As,1,12
Kd,Ah,1,12
Kd,Ad,1,12
Kd,Ac,1,12
Kc,As,1,12
Kc,Ah,1,12
Kc,Ad,1,12
Kc,Ac,1,12
Qs,Js,1,13
Qs,Jh,1,13
Qs,Jd,1,13
Qs,Jc,1,13
Qh,Js,1,13
Qh,Jh,1,13
Qh,Jd,1,13
Qh,Jc,1,13
Qd,Js,1,13
Qd,Jh,1,13
Qd,Jd,1,13
Qd,Jc,1,13
Qc,Js,1,13
Qc,Jh,1,13
Qc,Jd,1,13
Qc,Jc,1,13
Qs,Ts,1,14
Qs,Th,1,14
Qs,Td,1,14
Qs,Tc,1,14
Qh,Ts,1,14
Qh,Th,1,14
Qh,Td,1,14
Qh,Tc,1,14
Qd,Ts,1,14
Qd,Th,1,14
Qd,Td,1,14
Qd,Tc,1,14
Qc,Ts,1,14
Qc,Th,1,14
Qc,Td,1,14
Qc,Tc,1,14
Qs,9s,1,15
Qs,9h,1,15
Qs,9d,1,15
Qs,9c,1,15
Qh,9s,1,15
Qh,9h,1,15
Qh,9d,1,15
Qh,9c,1,15
