Hand,Rank,OrderedRank
2s,As,1,1
2s,Ah,1,1
2s,Ad,1,1
2s,Ac,1,1
2h,As,1,1
2h,Ah,1,1
2h,Ad,1,1
2h,Ac,1,1
2d,As,1,1
2d,Ah,1,1
2d,Ad,1,1
2d,Ac,1,1
2c,As,1,1
2c,Ah,1,1
2c,Ad,1,1
2c,Ac,1,1
3s,As,1,2
3s,Ah,1,2
3s,Ad,1,2
3s,Ac,1,2
3h,As,1,2
3h,Ah,1,2
3h,Ad,1,2
3h,Ac,1,2
3d,As,1,2
3d,Ah,1,2
3d,Ad,1,2
3d,Ac,1,2
3c,As,1,2
3c,Ah,1,2
3c,Ad,1,2
3c,Ac,1,2
3s,2s,1,3
3s,2h,1,3
3s,2d,1,3
3s,2c,1,3
3h,2s,1,3
3h,2h,1,3
3h,2d,1,3
3h,2c,1,3
3d,2s,1,3
3d,2h,1,3
3d,2d,1,3
3d,2c,1,3
3c,2s,1,3
3c,2h,1,3
3c,2d,1,3
3c,2c,1,3
4s,As,1,4
4s,Ah,1,4
4s,Ad,1,4
4s,Ac,1,4
4h,As,1,4
4h,Ah,1,4
4h,Ad,1,4
4h,Ac,1,4
4d,As,1,4
4d,Ah,1,4
4d,Ad,1,4
4d,Ac,1,4
4c,As,1,4
4c,Ah,1,4
4c,Ad,1,4
4c,Ac,1,4
4s,2s,1,5
4s,2h,1,5
4s,2d,1,5
4s,2c,1,5
4h,2s,1,5
4h,2h,1,5
4h,2d,1,5
4h,2c,1,5
4d,2s,1,5
4d,2h,1,5
4d,2d,1,5
4d,2c,1,5
4c,2s,1,5
4c,2h,1,5
4c,2d,1,5
4c,2c,1,5
4s,3s,1,6
4s,3h,1,6
4s,3d,1,6
4s,3c,1,6
4h,3s,1,6
4h,3h,1,6
4h,3d,1,6
4h,3c,1,6
4d,3s,1,6
4d,3h,1,6
4d,3d,1,6
4d,3c,1,6
4c,3s,1,6
4c,3h,1,6
4c,3d,1,6
4c,3c,1,6
5s,As,1,7
5s,Ah,1,7
5s,Ad,1,7
5s,Ac,1,7
5h,As,1,7
5h,Ah,1,7
5h,Ad,1,7
5h,Ac,1,7
5d,As,1,7
5d,Ah,1,7
5d,Ad,1,7
5d,Ac,1,7
5c,As,1,7
5c,Ah,1,7
5c,Ad,1,7
5c,Ac,1,7
5s,2s,1,8
5s,2h,1,8
5s,2d,1,8
5s,2c,1,8
5h,2s,1,8
5h,2h,1,8
5h,2d,1,8
5h,2c,1,8
5d,2s,1,8
5d,2h,1,8
5d,2d,1,8
5d,2c,1,8
5c,2s,1,8
5c,2h,1,8
5c,2d,1,8
5c,2c,1,8
5s,3s,1,9
5s,3h,1,9
5s,3d,1,9
5s,3c,1,9
5h,3s,1,9
5h,3h,1,9
5h,3d,1,9
5h,3c,1,9
5d,3s,1,9
5d,3h,1,9
5d,3d,1,9
5d,3c,1,9
5c,3s,1,9
5c,3h,1,9
5c,3d,1,9
5c,3c,1,9
5s,4s,1,10
